Level,ExpToNextLevel,GoodReward1,GoodAmount1,GoodReward2,GoodAmount2,GoodReward3,GoodAmount3,PaidGoodReward1,PaidGoodAmount1,PaidGoodReward2,PaidGoodAmount2,PaidGoodReward3,PaidGoodAmount3,ThresholdRewardSet1,ThresholdRewardSet2,ThresholdRewardSet3,ThresholdRewardSet4,ThresholdRewardSet5,MaxFields,MaxEvents,CaretakerStorageCapacity,MillerStorageCapacity,MaxCatAmount,MaxCatHouseAmount,MaxDogAmount,MaxDogHouseAmount,MaxHorseAmount,MaxPonyAmount,MaxHorseHouseAmount,MaxDonkeyAmount,MaxDonkeyHouseAmount,MaxBunnyAmount,MaxBunnyHouseAmount,MaxKittenAmount,MaxKittenHouseAmount,MaxPuppyAmount,MaxPuppyHouseAmount,MaxGuineaPigAmount,MaxGuineaPigHouseAmount,MaxBirdAmount,MaxBirdHouseAmount,MaxChickenHabitats,MaxCowHabitats,MaxSheepHabitats,MaxPigHabitats,MaxGoatHabitats,MaxHammermills,MaxSugarMills,MaxSmelters,MaxBeeHabitats,MaxSquirrelHabitats,MinGoodsInOrderDelivery,MaxGoodsInOrderDelivery,OrderCancelTimeMin,OrderSpeedUpPrice,BoatOrderSpeedUpPrice,MaxOrderCount,CashExpMultiplier,EventCounterClicks,OrderMinValue,OrderMaxValue,DiamondsToCoinsRate,DiamondsToCoinsRateV2,GuestOrderValue,MinCrateAmountInBoatOrder,MaxCrateAmountInBoatOrder,MinBoatOrderValue,MaxBoatOrderValue,MinGoodTypesInBoatOrder,MaxGoodTypesInBoatOrder,MinBoatStayTimeMinutes,MaxBoatStayTimeMinutes,BoatETAMinutes,BoatRewardMultiplier,SpecialOrderProbablity,SpecialOrderMaxCount,TruckCoinMultiplier,TruckEXPMultiplier,BoatCrateCoinMultiplier,BoatCrateEXPMultiplier,EXPEventCurrencyMultiplier
1151,18127000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,489,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1152,18147000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,489,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1153,18167000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,489,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1154,18187000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,489,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1155,18207000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,489,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1156,18227000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,489,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1157,18247000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,489,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1158,18267000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,489,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1159,18287000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,489,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1160,18307000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,489,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1161,18327000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,490,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1162,18347000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,490,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1163,18367000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,490,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1164,18387000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,490,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1165,18407000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,490,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1166,18427000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,490,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1167,18447000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,490,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1168,18467000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,490,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1169,18487000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,490,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1170,18507000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,490,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1171,18527000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,491,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1172,18547000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,491,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1173,18567000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,491,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1174,18587000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,491,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1175,18607000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,491,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1176,18627000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,491,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1177,18647000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,491,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1178,18667000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,491,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1179,18687000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,491,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1180,18707000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,491,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1181,18727000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,492,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1182,18747000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,492,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1183,18767000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,492,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1184,18787000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,492,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1185,18807000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,492,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1186,18827000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,492,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1187,18847000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,492,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1188,18867000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,492,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1189,18887000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,492,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1190,18907000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,492,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1191,18927000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,493,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1192,18947000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,493,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1193,18967000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,493,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1194,18987000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,493,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1195,19007000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,493,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1196,19027000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,493,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1197,19047000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,493,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1198,19067000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,493,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1199,19087000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,493,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1200,19107000,FreeDiamonds,500,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,493,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,80,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1201,19127000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,494,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1202,19147000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,494,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1203,19167000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,494,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1204,19187000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,494,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1205,19207000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,494,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1206,19227000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,494,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1207,19247000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,494,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1208,19267000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,494,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1209,19287000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,494,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1210,19307000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,494,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,78,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1211,19327000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,495,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1212,19347000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,495,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1213,19367000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,495,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1214,19387000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,495,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1215,19407000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,495,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1216,19427000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,495,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1217,19447000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,495,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1218,19467000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,495,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1219,19487000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,495,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1220,19507000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,495,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1221,19527000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,496,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
1222,19547000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,496,1712,200,200,2,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,0,79,231,463,46962,832017,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100
