TID,IT
TID_CATALOG_INFO_HOLLY_SOURCE_WHEEL,Ottieni dell'agrifoglio dalla ruota della fortuna.
TID_CATALOG_INFO_HOLLY_SOURCE_ADS,Ottieni dell'agrifoglio guardando gli annunci.
TID_CATALOG_INFO_HOLLY_CONVERSION,"Al termine dell'evento del catalogo, l'agrifoglio rimasto inutilizzato sarà convertito in monete."
TID_CATALOG_INFO_CHOCOBUNNY_SOURCE_TRUCK,Completa gli ordini del furgone per ricevere dei conigli di cioccolato.
TID_CATALOG_INFO_CHOCOBUNNY_SOURCE_BOAT,Completa gli ordini per la barca per ricevere dei conigli di cioccolato.
TID_CATALOG_INFO_CHOCOBUNNY_EXCHANGE,Scambia i conigli di cioccolato con i premi nel catalogo.
TID_CATALOG_INFO_CHOCOBUNNY_SOURCE_TASK,Ottieni dei conigli di cioccolato dall'evento degli incarichi in corso.
TID_CATALOG_INFO_CHOCOBUNNY_SOURCE_SHOP,Ottieni dei conigli di cioccolato acquistando le offerte nel negozio.
TID_CATALOG_INFO_CHOCOBUNNY_SOURCE_WHEEL,Ottieni dei conigli di cioccolato dalla ruota della fortuna.
TID_CATALOG_INFO_CHOCOBUNNY_SOURCE_ADS,Ottieni dei conigli di cioccolato guardando gli annunci.
TID_CATALOG_INFO_CHOCOBUNNY_CONVERSION,"Al termine dell'evento del catalogo, i conigli di cioccolato rimasti inutilizzati saranno convertiti in monete."
TID_CATALOG_INFO_MUSICNOTES_SOURCE_TRUCK,Completa gli ordini del furgone per ricevere delle note musicali.
TID_CATALOG_INFO_MUSICNOTES_SOURCE_BOAT,Completa gli ordini per la barca per ricevere delle note musicali.
TID_CATALOG_INFO_MUSICNOTES_EXCHANGE,Scambia le note musicali con i premi nel catalogo.
TID_CATALOG_INFO_MUSICNOTES_SOURCE,Ottieni delle note musicali partecipando agli eventi per il compleanno di Hay Day.
TID_CATALOG_INFO_MUSICNOTES_CONVERSION,"Al termine dell'evento del catalogo, le note musicali rimaste inutilizzate saranno convertite in monete."
TID_DECO_GAFFER_SHEEP,Tecnico delle luci
TID_FARMPASS_EARLY_BIRD_OFFER_ENDS,L'offerta termina tra: <TIME>
TID_FARMPASS_EARLY_BIRD_OFFER_TITLE,Ottieni il bundle esclusivo del Pass della fattoria
TID_ICON_EVENT_PRIDE_RAINBOW_CAKE,Torta di compleanno
TID_ICON_EVENT_PRIDE_RAINBOW_CAKE_DESCRIPTION,Valuta speciale per l'evento della festa di compleanno. Ottienine altre unità completando gli ordini del furgone e scambiale per ricevere regali speciali dal catalogo dell'evento!
TID_ICON_CATALOGUE_MUSICNOTE,Nota musicale
TID_ICON_CATALOGUE_MUSICNOTE_DESCRIPTION,Valuta speciale per gli eventi del compleanno. Ottienine altre unità partecipando agli eventi dedicati al compleanno e scambiale per ricevere regali speciali dal catalogo dell'evento!
TID_FEATURE_DECO_STICKER_BOOK,Libro delle decorazioni
TID_CATALOG_INFO_RAINBOW_CAKE_SOURCE_TRUCK,Completa gli ordini del furgone per ricevere delle torte di compleanno.
TID_CUSTOMIZATION_BIRTHDAY2024,Compleanno rock & roll
TID_GACHA_BONUS_ITEM,Bonus!
TID_CATALOG_INFO_RAINBOWCAKE_SOURCE_TRUCK,Completa gli ordini del furgone per ricevere delle torte di compleanno.
TID_CATALOG_INFO_RAINBOWCAKE_EXCHANGE,Scambia le torte di compleanno con i premi del catalogo.
TID_CATALOG_INFO_RAINBOWCAKE_CONVERSION,"Al termine dell'evento del catalogo, le torte di compleanno rimaste inutilizzate saranno convertite in monete."
TID_DECO_BARRICADE_FENCE,Recinto di betulla
TID_DECO_LEAFPILE_PATH,Sentiero di foglie autunnali
TID_DECO_WOODEN_HEART_FENCE,Recinto di legno a cuori
TID_DECO_SAUSAGE_GRILL,Salsicce alla griglia
TID_DECO_SAUERKRAUT_BARREL,Barile di crauti
TID_DECO_PRETZEL_STATION,Stand dei pretzel
TID_DECO_GINGERBREAD_HEARTS,Cuori di pan di zenzero
TID_DECO_AUTUMN_PICNIC,Picnic autunnale
TID_DECO_RASPBERRY_REFRESHMENTS,Succo al lampone per tutti
TID_DECO_AUTUMN_MAPLE_TREE,Acero
TID_DECO_HAY_RIDE,Tuffi nel fieno
TID_DECO_WOODEN_HEDGEHOGS,Ricci di legno
TID_DECO_WOODEN_TRAIN,Trenino di legno
TID_ANIMAL_ACCESSORY_HAT_STRAW_HAT,Cappello di paglia
TID_ANIMAL_ACCESSORY_HAT_GOLDEN_LEAF_TIARA,Corona d'alloro
TID_FLOATER_HABITAT_NO_MORE_ANIMALS,Miglioramento non ancora disponibile. Il prossimo animale arriverà presto.
TID_CUSTOMIZATION_IVY,Cottage viola
TID_CUSTOMIZATION_IVY_SUMMER,Cottage giallo
TID_EDIT_MODE_ERASE_TUTORIAL_TITLE,Tocca per cancellare
TID_EDIT_MODE_ERASE_TUTORIAL_TEXT,"Tocca gli oggetti o trascina il dito su di essi per rimuoverli. Per esplorare la mappa, la modalità \qCancella\q dev'essere disattivata."
TID_EDIT_MODE_ERASE_TUTORIAL_BUTTON,OK
TID_DECO_GLOOMY_CANDLES,Portacandele tetro
TID_DECO_SCARY_MAUSOLEUM,Mausoleo spaventoso
TID_DECO_SCARY_ORGAN_MUSIC,Organista inquietante
TID_DECO_SCARY_TOMB,Tomba da brividi
TID_DECO_BLACK_ROSES,Rose nere
TID_DECO_LOBSTER_RIDE,Giostra dell'aragosta
TID_DECO_PIG_RIDE,Giostra del maiale
TID_DECO_TICKET_BOOTH,Biglietteria
TID_DECO_CLEANER_PIG,Maiale delle pulizie
TID_DECO_GHOST_PIG,Maiale fantasma
TID_DECO_ABANDONED_TOMBS,Lapidi lugubri
TID_DECO_GLASS_WALL,Recinto di vetrate
TID_DECO_CAT_FENCE,Recinto di gatti neri
TID_DECO_DINOSAUR_FOOTPRINT_PATH,Sentiero preistorico
TID_DECO_CENTIPEDE_FENCE,Recinto millepiedi
TID_DECO_THANKSGIVING_COSPLAY,Costume per il Ringraziamento
TID_DECO_THANKSGIVING_WAGON,Carro del Ringraziamento
TID_DECO_THANKSGIVING_BALLOON,Palloncino del Ringraziamento
TID_DECO_THANKSGIVING_PAVILION,Padiglione del Ringraziamento
TID_DECO_THANKSGIVING_PHOTO_SHOOT,Pannello per foto del Ringraziamento
TID_DECO_FAIRGROUND_FORTUNE_TELLER,Veggente della fiera
TID_DECO_THANKSGIVING_FENCE,Recinto del Ringraziamento
TID_DECO_THANKSGIVING_PATH,Sentiero del Ringraziamento
TID_DECO_POND_YACHTING,Stagno con veliero
TID_DECO_MUSHROOM_PICKING,Raccolta dei funghi
TID_DECO_BOAT_STATUE,Battello intagliato
TID_DECO_MUSHROOM_LOG,Tronco con muschio
TID_DECO_MUSHROOM_FENCE,Recinto di funghi
TID_DECO_SEASONAL_GREETINGS,Biglietti d'auguri delle feste
TID_DECO_MAIL_OFFICE,Ufficio postale d'inverno
TID_DECO_LUMBERJACKS,Boscaioli
TID_DECO_SKI_RENTALS,Noleggio attrezzatura da sci
TID_DECO_AIRMAIL,Posta aerea
TID_DECO_ELECTRIC_CANDLES_FENCE,Recinto di candele
TID_HALLOWEEN_CANDY_MAKER,Macchina delle caramelle di Halloween
TID_HALLOWEEN_CANDY_MAKER_DESCRIPTION,Produce caramelle di Halloween
TID_HALLOWEEN_CANDY1_24,Denti gommosi
TID_HALLOWEEN_CANDY2_24,Vermi gommosi
TID_HALLOWEEN_CANDY3_24,Teschi gommosi
TID_HALLOWEEN_CANDY4_24,Zucche gommose
TID_HALLOWEEN_CANDY_DESCRIPTION,Prodotto a tempo limitato della macchina delle caramelle di Halloween
TID_EDIT_MODE_ERASE,Modalità \qCancella\q attiva
TID_CUSTOMIZATION_HALLOWEEN_2024,Halloween 2024
TID_ICON_GACHA_CURRENCY,Chiavi dorate
TID_ICON_GACHA_CURRENCY_DESCRIPTION,"Usa le chiavi dorate che trovi nelle offerte, nel Pass della fattoria, negli eventi e in altre parti del gioco per aprire le scatole a sorpresa. Ricorda che puoi conservare solo un certo numero di chiavi."
TID_DECO_STICKER_BOOK_TUTORIAL_6,"Quando una decorazione è disponibile in un evento in corso, il pulsante mostrerà un libro aperto."
TID_DECO_PHASE_UNKNOWN,Sconosciuto <TIME>
TID_DECO_PHASE_PREVIEW,La fase di progettazione inizia tra: <TIME>
TID_DECO_PHASE_DECORATION,La fase di progettazione finisce tra: <TIME>
TID_DECO_PHASE_VOTING,La fase di voto finisce tra: <TIME>
TID_DECO_PHASE_REWARDING,La Fiera del design finisce tra: <TIME>
TID_DECO_BUTTON_VOTE,Voto
TID_DECO_BUTTON_SUBMIT,Il tuo design
TID_DECO_BUTTON_EXPO,Hall of fame
TID_HAMBURGER_MENU_PHOTO_MODE_BUTTON,Modalità foto
TID_DECO_VOTE_COUNTDOWN,Puoi votare nuovamente tra: <TIME>
TID_DECO_VOTE_TT,"Tocca il design che ti piace di più. Più voti, più verrà visto il tuo design dagli altri giocatori."
TID_DECO_VOTE_TT_TITLE,Scegli il tuo design preferito!
TID_DECO_FEATURED_TITLE,Scelte più popolari
TID_DECO_FEATURED_PREPARE,I design appariranno nella hall of fame durante la fase di voto.
TID_DECO_FEATURED_COUNTDOWN,I design in evidenza appariranno qui durante le votazioni e saranno aggiornati regolarmente.
TID_DECO_FEATURED_CATEGORY_0,Design degni di nota
TID_DECO_FEATURED_CATEGORY_1,Design meravigliosi
TID_DECO_FEATURED_CATEGORY_2,Il top del top
TID_DECO_FEATURED_CLOSEUP_TITLE,Design di <NAME>
TID_DECO_FEATURED_CLOSEUP_TASKS_COMPLETED,Incarichi completati: <COUNT>
TID_DECO_FEATURED_CLOSEUP_VISIT,Visita la fattoria
TID_DECO_STICKER_BOOK_COLLECTION_21,Armonia zen
TID_DECO_STICKER_BOOK_COLLECTION_22,Anno del Serpente
TID_DECO_STICKER_BOOK_COLLECTION_23,Pioggia di rose
TID_DECO_STICKER_BOOK_COLLECTION_24,Cuori e cioccolatini
TID_DECO_STICKER_BOOK_COLLECTION_25,Il gran carnevale
TID_DECO_STICKER_BOOK_COLLECTION_26,Aria di primavera
TID_DECO_STICKER_BOOK_COLLECTION_27,Risveglio della natura
TID_DECO_STICKER_BOOK_COLLECTION_28,Caccia alle uova di cioccolato
TID_DECO_STICKER_BOOK_COLLECTION_29,Giornata della Terra
TID_DECO_STICKER_BOOK_COLLECTION_30,Golden Week
TID_DECO_STICKER_BOOK_COLLECTION_31,<TODO:>Placeholder 31
TID_DECO_STICKER_BOOK_COLLECTION_32,Cra cra
TID_DECO_STICKER_BOOK_COLLECTION_33,Fattoria in fiore
TID_DECO_STICKER_BOOK_COLLECTION_34,Cespugli di Hay Day
TID_DECO_STICKER_BOOK_COLLECTION_35,L'oasi delle api
TID_DECO_STICKER_BOOK_COLLECTION_36,13 compleanni!
TID_DECO_STICKER_BOOK_COLLECTION_37,Sogno hippy
TID_DECO_STICKER_BOOK_COLLECTION_38,In campeggio con Greg
TID_DECO_STICKER_BOOK_COLLECTION_39,<TODO:>Placeholder 39
TID_DECO_STICKER_BOOK_COLLECTION_40,<TODO:>Placeholder 40
TID_DECO_STICKER_BOOK_COLLECTION_41,<TODO:>Placeholder 41
TID_DECO_STICKER_BOOK_COLLECTION_42,<TODO:>Placeholder 42
TID_DECO_STICKER_BOOK_COLLECTION_43,<TODO:>Placeholder 43
TID_DECO_STICKER_BOOK_COLLECTION_44,<TODO:>Placeholder 44
TID_DECO_STICKER_BOOK_COLLECTION_45,<TODO:>Placeholder 45
TID_DECO_STICKER_BOOK_COLLECTION_46,<TODO:>Placeholder 46
TID_DECO_STICKER_BOOK_COLLECTION_47,<TODO:>Placeholder 47
TID_DECO_STICKER_BOOK_COLLECTION_48,<TODO:>Placeholder 48
TID_DECO_STICKER_BOOK_COLLECTION_49,<TODO:>Placeholder 49
TID_DECO_STICKER_BOOK_COLLECTION_50,<TODO:>Placeholder 50
TID_DECO_SUBMIT_SUBMITTED,Design inviato!
TID_DECO_SUBMIT_NAME,Design di <NAME>
TID_DECO_SUBMIT_DATE,<DAY>/<MONTH>/<YEAR>
TID_DECO_SUBMIT_TASKS,Incarichi completati: <COUNT>
TID_DECO_SUBMIT_SUBMIT,Invia il design
TID_DECO_SUBMIT_DETAILS,Il design non può essere cambiato dopo l'invio!
TID_DECO_SUBMIT_BUTTON,Invia
TID_DECO_RESUBMIT_BUTTON,Invia di nuovo
TID_DECO_SKIP_SUBMIT_BUTTON,Salta l'invio
TID_DECO_EVENT_SKIP_VOTING_COOL_DOWN,Azzera periodo di attesa
TID_DECO_VOTING_NOT_STARTED_DESC,Le votazioni inizieranno quando finisce la fase di progettazione.
TID_DECO_VOTING_ENDED,Fase di voto conclusa
TID_DECO_VOTING_ENDED_DESC,Visita la hall of fame per vedere i fantastici design degli altri contadini e non dimenticarti di spendere i rullini nel negozio!
TID_DECO_EVENT_REPORTED,Design segnalato
TID_DECO_PHASE_SUBMITTED,La fase di voto inizia tra: <TIME>
TID_DECO_EVENT_REPORT_DIALOG_TEXT,Vuoi davvero segnalare questo design?
TID_DECO_EVENT_REPORT_CONFIRM,Segnala
TID_DECO_SUBMIT_TASKS_NOT_COMPLETED,Completa gli incarichi richiesti per inviare il design.
TID_FLOATER_INVALID_OBJECT_POSITION_MODE,Impossibile posizionare qui l'oggetto!
TID_FLOATER_COMPLETED_DECO_EVENT_CHALLENGE_BUT_DID_NOT_SUBMIT_DESIGN,Non hai rispettato la scadenza per l'invio del design!
TID_DECO_EVENT_CURRENCY,Rullini
TID_DECO_EVENT_CURRENCY_DESC,"Puoi usare i rullini nel negozio, anche dopo la fine dell'evento."
TID_EVERGREEN_OFFER_VALUE_X,<VALUE> volte più conveniente
TID_EVERGREEN_OFFER_EXTRA_AMOUNT,+<VALUE>
TID_EDIT_MODE_ERASER_DESCRIPTION,Disattiva la mod. \qCancella\q per esplorare la mappa.
TID_DECO_SUBMIT_PREVIEW,Potrai inviare il design durante la fase di progettazione.
TID_DECO_SUBMIT_PREVIEW_TIMER,Puoi iniziare a creare i tuoi design tra: <TIME>
TID_DECO_ORNATE_MUSHROOM_FENCE,Recinto di funghi decorato
TID_DECO_AUTUMN_HARVEST_CART,Carretto del raccolto autunnale
TID_DECO_HAY_CHICKEN,Gallina di fieno
TID_DECO_GINGERBREAD_PATH,Sentiero di pan di zenzero
TID_DECO_JOLLY_WREATH,Ghirlanda delle feste
TID_DECO_JOLLY_WELL,Pozzo delle feste
TID_DECO_GIFT_DELIVERY,Consegna dei regali
TID_DECO_GINGERBREAD_WORKSHOP,Laboratorio di pan di zenzero
TID_DECO_SKI_TRACKS,Tracce degli sci
TID_DECO_ICE_PIG,Maiale di ghiaccio
TID_DECO_WINTER_PARK,Parco d'inverno
TID_DECO_ICY_FOUNTAIN,Fontana ghiacciata
TID_DECO_WINTER_BENCH,Panchina d'inverno
TID_DECO_JOLLY_PATH,Sentiero delle feste
TID_DECO_COW_SANTA,Mucca Natale
TID_DECO_FIREWORKS_FENCE,Recinto di fuochi d'artificio
TID_DECO_DISCO_BALL,Strobosfera
TID_DECO_CANDLE_CHIMES,Giostrina portacandele
TID_DECO_HOLIDAY_BAKING,Infornata delle feste
TID_DECO_WOODEN_SANTA,Babbo Natale di legno
TID_SUMMER_GAMES_BOTTLE,Borraccia dei giochi estivi
TID_SUMMER_GAMES_BOTTLE_DESCRIPTION,Oggetto dell'evento dei giochi estivi. Ottienine di più completando gli eventi e scambiale con le ricompense del catalogo dell'evento.
TID_DECO_EVENT_LIKE_YOUR_DESIGN,Il tuo design ha ricevuto <COUNT> \qMi piace\q!
TID_DECO_EVENT_SHOP,Negozio della Fiera del design
TID_DECO_SUBMIT_MISSED,"Purtroppo, non hai rispettato la scadenza per l'invio, ma puoi comunque votare gli altri design e guadagnare dei rullini durante la fase di voto."
TID_DECO_EVENT_VOTING_GO_TO_SHOP,Vai al negozio della Fiera del design
TID_DECO_EVENT_SUBMIT_AND_WAIT_TEXT,Perfetto! La fase di voto inizierà a breve. Non dimenticarti di ritirare i premi degli incarichi completati.
TID_ANIMAL_ACCESSORY_HAT_BAT_HEADBAND,Cerchietto con pipistrelli
TID_ANIMAL_ACCESSORY_HAT_PILGRIM,Cappello del pellegrino
TID_ANIMAL_ACCESSORY_HAT_SNOWFLAKE_HEADBAND,Cerchietto con fiocchi di neve
TID_ANIMAL_ACCESSORY_HAT_PARADE,Cappello della parata
TID_MYSTERY_BOX_DESCRIPTION_ADS,La scatola misteriosa che hai trovato è bloccata! Puoi aprirla guardando un annuncio.
TID_MYSTERY_BOX_DESCRIPTION_DIAMONDS_ADS,La scatola misteriosa che hai trovato è bloccata! Puoi aprirla usando i diamanti o guardando un annuncio.
TID_MYSTERY_CRATE_DESCRIPTION_ADS,Il forziere che hai trovato è chiuso! Puoi aprirlo guardando un annuncio.
TID_MYSTERY_CRATE_DESCRIPTION_DIAMONDS_ADS,Il forziere che hai trovato è chiuso! Puoi aprirlo usando i diamanti o guardando un annuncio.
TID_EVERGREEN_STARTER_OFFER,Offerta per i principianti
TID_EDIT_MODE_ERASER_UNDO_BUTTON_DISABLED_FLOATER,Non ci sono modifiche da annullare.
TID_EDIT_MODE_ERASER_UNDO_BUTTON_TUTORIAL_TEXT,Puoi annullare le modifiche con la freccia circolare.
TID_OSTRICHCHICK1,Pulcino di struzzo grigio
TID_OSTRICHCHICK2,Pulcino di struzzo marrone
TID_DECO_EUPHORBIA_TRIGONA,Euphorbia trigona
TID_DECO_SICKLEBUSH,Dichrostachys cinerea
TID_DECO_GIFTPILE_SANTA,Babbo Regalo
TID_ANDROID_NOTIFICATION_CHANNEL_DECO_EVENT,Fiera del design
TID_NOTIFICATIONS_SETTINGS_HEADLINE_DECO_EVENT,Notifiche della Fiera del design
TID_NOTIFICATIONS_SETTINGS_DECO_EVENT_LIKES,Notifica sui \qMi piace\q ricevuti
TID_DECO_EVENT_NEW_LIKE_NOTIFICATION_MESSAGE,Il tuo design piace a <LIKE_SENDER> e ad altri <OTHER_COUNT> contadini!
TID_DECO_EVENT_NEW_LIKE_NOTIFICATION_MESSAGE_ONE_LIKE,Il tuo design piace a <LIKE_SENDER>!
TID_DECO_EVENT_NEW_LIKE_NOTIFICATION_MESSAGE_NO_SENDER_NAME,Il tuo design ha ricevuto <COUNT> \qMi piace\q!
TID_EDIT_MODE_OBJECT_CONSTRUCTION_STARTS_WHEN_LAYOUT_SAVED_AND_ACTIVE,La costruzione inizia quando salvi e attivi questa disposizione.
TID_EDIT_MODE_OBJECT_GROWTH_STARTS_WHEN_LAYOUT_SAVED_AND_ACTIVE,La crescita inizia quando salvi e attivi questa disposizione.
TID_NOTIFICATIONS_SETTINGS_DECO_EVENT_VOTES_AVAILABLE,Notifica sull'apertura delle votazioni
TID_DECO_EVENT_VOTES_AVAILABLE_NOTIFICATION_MESSAGE,Puoi votare ancora! Scegli subito i tuoi design preferiti.
TID_CARVED_MUSHROOM_FENCE,Recinto di funghi intagliati
TID_DECO_AUTUMN_SOUP,Zuppa autunnale
TID_DECO_AUTUMN_POND,Stagno autunnale
TID_DECO_CHALLENGE_DECORATION,Decorazioni
TID_DECO_CHALLENGE_PLACE_DECO,Posiziona <NUM> copia/e di \q<DECO>\q
TID_DECO_CHALLENGE_REMOVE_OBST,Rimuovi <NUM> ostacolo/i
TID_DECO_CHALLENGE_MOVE_DECO,Sposta <NUM> copia/e di \q<DECO>\q
TID_DECO_CHALLENGE_SUBMIT,Invia il design
TID_DECO_CHALLENGE_SEND_VOTE,Metti \qMi piace\q a <NUM> design
TID_DECO_CHALLENGE_GET_VOTE,Ricevi <NUM> \qMi piace\q
TID_DECO_CHALLENGE_PLACE_FENCE,Posiziona <NUM> copia/e di \q<DECO>\q
TID_DECO_CHALLENGE_PLACE_PATH,Posiziona <NUM> copia/e di \q<DECO>\q
TID_DECO_CHALLENGE_PLACE_FENCE_OR_PATH,Posiziona <NUM> copia/e di \q<DECO>\q
TID_NATIVE_DIALOG_CHRONOS_CONTENT_DOWNLOAD_FAILED_TITLE,Download dei contenuti impossibile
TID_NATIVE_DIALOG_CHRONOS_CONTENT_DOWNLOAD_FAILED_TEXT,Impossibile scaricare i nuovi contenuti di gioco. Verifica che ci sia spazio a sufficienza sul dispositivo e riprova.
TID_NATIVE_DIALOG_CHRONOS_CONTENT_DOWNLOAD_FAILED_BUTTON,Riprova
TID_DECO_EVENT_MAIN_CHALLENGE_DESC,Incarichi richiesti per l'invio
TID_NO_REAL_NAME,Non usare il tuo vero nome.
TID_DECO_EVENT_INTRO_STEP1_CONFIRM_BUTTON,Certo!
TID_DECO_EVENT_INTRO_STEP1_GREETING_HEADER_NAME,"Bonjour, <NAME>!"
TID_DECO_EVENT_INTRO_STEP1_GREETING_HEADER_NONAME,Bonjour!
TID_DECO_EVENT_INTRO_STEP1_GREETING_BODY,"Sono Baptiste, un illustrissimo fotografo, e scatto le foto delle fattorie più incantevoli di tutto il mondo. Vuoi aiutarmi ad aggiungere dei soggetti speciali alla mia collezione?"
TID_DECO_EVENT_INTRO_STEP2_CONFIRM_BUTTON,Certo!
TID_DECO_EVENT_INTRO_STEP2_GREETING_HEADER,<THEME NAME CHRONOS>
TID_DECO_EVENT_INTRO_STEP2_GREETING_BODY,Rimani fedele al tema per raggiungere i risultati migliori. Psst... Quest'area nascosta è il posto in cui creerai il tuo capolavoro!
TID_DECO_EVENT_INTRO_STEP3_CONFIRM_BUTTON,Grazie!
TID_DECO_EVENT_INTRO_STEP3_GREETING_BODY,"Prima di iniziare il design, avrai un po' di tempo per prepararti. Buona fortuna!"
TID_DECO_EVENT_INTRO_STEP4_CONFIRM_BUTTON,Come si partecipa?
TID_DECO_EVENT_INTRO_STEP4_GREETING_HEADER,Inizia subito a progettare!
TID_DECO_EVENT_INTRO_STEP4_GREETING_BODY,"Prêt, partez! Crea qualcosa di davvero magnifique! Completa gli incarichi per far vedere il design a più giocatori."
TID_DECO_EVENT_INTRO_STEP5_CONFIRM_BUTTON,Come si vota?
TID_DECO_EVENT_INTRO_STEP5_GREETING_HEADER,Le votazioni sono aperte!
TID_DECO_EVENT_INTRO_STEP5_GREETING_BODY,"Magnifique! Ora va' a votare! Più voti, più giocatori vedranno il tuo design. E chissà... magari gli metteranno un \qMi piace\q!"
TID_DECO_EVENT_INTRO_STEP6_CONFIRM_BUTTON,Vai al negozio della Fiera del design
TID_DECO_EVENT_INTRO_STEP6_HEADER,Fase di voto conclusa
TID_DECO_EVENT_INTRO_STEP6_GREETING_HEADER_NONAME,Ben fatto!
TID_DECO_EVENT_INTRO_STEP6_GREETING_HEADER_NAME,"Ottimo lavoro, <NAME>!"
TID_DECO_EVENT_INTRO_STEP6_LIKES_SENT,Hai messo \qMi piace\q a <COUNT> design.
TID_DECO_EVENT_INTRO_STEP6_LIKES_RECEIVED,Il tuo design ha ricevuto <COUNT> \qMi piace\q!
TID_DECO_EVENT_INTRO_STEP6_CURRENCY_RECEIVED,Hai ottenuto <COUNT> rullino/i
TID_DECO_EVENT_DECORATION_PHASE_STARTED_NOTIFICATION_MESSAGE,La fase di progettazione è iniziata!
TID_DECO_EVENT_VOTING_PHASE_STARTED_NOTIFICATION_MESSAGE,La fase di voto è iniziata! Vota i design che preferisci!
TID_DECO_EVENT_REWARDING_PHASE_STARTED_NOTIFICATION_MESSAGE,La fase di voto è finita! Spendi i rullini nel negozio!
TID_DECO_EVENT_FEATURED_GROUP_1_NOTIFICATION_MESSAGE,Il tuo design è degno di nota!
TID_DECO_EVENT_FEATURED_GROUP_2_NOTIFICATION_MESSAGE,Il tuo design è meraviglioso!
TID_DECO_EVENT_FEATURED_GROUP_3_NOTIFICATION_MESSAGE,Il tuo design è il top del top!
TID_DECO_EVENT_SUBMISSION_DEADLINE_NOTIFICATION_MESSAGE_HOURS_MINUTES,Hai ancora <HOURS> h e <MINUTES> m per inviare il design!
TID_DECO_EVENT_SUBMISSION_DEADLINE_NOTIFICATION_MESSAGE_HOURS,Hai ancora <HOURS> h per inviare il design!
TID_DECO_EVENT_SUBMISSION_DEADLINE_NOTIFICATION_MESSAGE_MINUTES,Hai ancora <MINUTES> m per inviare il design!
TID_DECO_EVENT_SUBMISSION_CELEBRATION,Ottimo lavoro! Ora devo chiudere quest'area per preparare la prossima Fiera. Torniamo alla fattoria.
TID_DECO_EVENT_INFO_TITLE_PAGE1,Le fasi dell'evento
TID_DECO_EVENT_INFO_SUBTEXT_PAGE1,L'evento è suddiviso in tre fasi.
TID_DECO_EVENT_INFO_PAGE1_BOX1,Esplora la nuova area e da' un'occhiata al deposito delle decorazioni.
TID_DECO_EVENT_INFO_PAGE1_BOX2,"Da' sfogo alla tua creatività, completa gli incarichi, invia il tuo design e accumula rullini."
TID_DECO_EVENT_INFO_PAGE1_BOX3,Vota i design degli altri contadini e ricevi da loro dei \qMi piace\q.
TID_DECO_EVENT_INFO_PAGE1_BOX4,Scambia i rullini con gli articoli esclusivi del negozio della Fiera del design. I rullini rimarranno tuoi e li potrai spendere quando vuoi!
TID_DECO_EVENT_INFO_TITLE_PAGE2,Fase dei preparativi
TID_DECO_EVENT_INFO_SUBTEXT_PAGE2,Esplora l'area e preparati a creare!
TID_DECO_EVENT_INFO_PAGE2_BOX1,"Rimuovi tutti gli ostacoli dall'area (o tieni quelli che vuoi, se preferisci)."
TID_DECO_EVENT_INFO_PAGE2_BOX2,Controlla il tema e comincia a farti venire delle idee.
TID_DECO_EVENT_INFO_PAGE2_BOX3,Da' un'occhiata alla collezione di decorazioni per farti ispirare.
TID_DECO_EVENT_INFO_PAGE2_BOX4,Controlla il negozio in gioco per scoprire se ci sono nuove offerte con decorazioni.
TID_DECO_EVENT_INFO_TITLE_PAGE3,Fase di progettazione
TID_DECO_EVENT_INFO_SUBTEXT_PAGE3,Scatena la fantasia e completa gli incarichi.
TID_DECO_EVENT_INFO_PAGE3_BOX1,Inizia posizionando le decorazioni nell'area indicata.
TID_DECO_EVENT_INFO_PAGE3_BOX2,Progetta tenendo conto delle decorazioni già presenti.
TID_DECO_EVENT_INFO_PAGE3_BOX3,"Più incarichi completi, più giocatori vedranno il design! Invialo per guadagnare rullini e usali per ottenere ricompense."
TID_DECO_EVENT_INFO_PAGE3_BOX4,"Ricordati di inviare il design in tempo! Per farlo, apri la scheda \qIl tuo design\q dopo aver completato gli incarichi richiesti."
TID_DECO_EVENT_INFO_TITLE_PAGE4,Fase di voto
TID_DECO_EVENT_INFO_SUBTEXT_PAGE4,Vota i tuoi design preferiti.
TID_DECO_EVENT_INFO_PAGE4_BOX1,"Tocca i design che ti piacciono di più. Più voti, più gente vedrà il tuo design."
TID_DECO_EVENT_INFO_PAGE4_BOX2,"Dopo aver inviato il design, gli altri contadini possono votarlo."
TID_DECO_EVENT_INFO_PAGE4_BOX3,Ritira le ricompense bonus per accumulare altri rullini e spenderli nel negozio della Fiera del design.
TID_DECO_EVENT_INFO_PAGE4_BOX4,"Visita la hall of fame per vedere i design in evidenza. Chissà, magari ci sarà pure il tuo!"
TID_DECO_EVENT_INFO_TITLE_PAGE5,Negozio della Fiera del design
TID_DECO_EVENT_INFO_SUBTEXT_PAGE5,Spendi i rullini per acquistare articoli esclusivi.
TID_DECO_EVENT_SUB_PREVIEW_HDR,Preparati a creare il tuo design!
TID_DECO_EVENT_SUB_LASTCHANCE_HDR,Invia tra: <TIME>
TID_DECO_EVENT_THEME_HDR,Tema della Fiera del design
TID_DECO_EVENT_INFO_TITLE,Come partecipare
TID_DECO_EVENT_INACTIVE_NOTE,"La Fiera del design al momento non è in corso. Finché aspetti, visita il negozio della Fiera oppure sfoglia l'album dei design, ricordandoti di dare un'occhiata a quelli degli altri contadini per vedere le loro bellissime creazioni!"
TID_DECO_EVENT_INACTIVE_HEADER,Preparati a decorare
