TID,NO
TID_CUSTOM_DECORATIONS_OPTIONS_OCHRE,Oker
TID_DERBY_BUNNY_DERBY_REWARDS_KEYS_HEADER_SINGULAR_BUNNY,Du fanget én harepus og vil få <NUMBER> belønninger!
TID_DERBY_BUNNY_DERBY_OVER_REWARDS_KEYS_HEADER_SINGULAR_BUNNY,Du fanget én harepus og fikk <NUMBER> belønninger!
TID_DERBY_BINGO_OVER_REWARDS_KEYS_HEADER_SINGULAR,Du klarte én bingolinje og fikk én belønning!
TID_DERBY_BINGO_OVER_REWARDS_KEYS_HEADER_SINGULAR_BINGO,Du klarte én bingolinje og fikk <NUMBER> belønninger!
TID_DERBY_BINGO_REWARDS_KEYS_HEADER_SINGULAR,Du fullførte én bingolinje og vil få én belønning!
TID_DERBY_BINGO_REWARDS_KEYS_HEADER_SINGULAR_BINGO,Du fullførte én bingolinje og vil få <NUMBER> belønninger!
TID_DERBY_REWARDS_KEYS_HEADER_SINGULAR,Du har én hestesko
TID_DERBY_OVER_REWARDS_KEYS_HEADER_SINGULAR,Du sikret deg én hestesko
TID_PEACOCK2,Brun påfugl
TID_PEACOCK3,Hvit påfugl
TID_MASTERY_INFO_POPUP_TOOLTIP_COINS_NEW,Alle <BUILDING>-varer er verdt <BONUS> mynter ved bilbestillinger.
TID_MASTERY_INFO_POPUP_TOOLTIP_EXP_NEW,Alle <BUILDING>-varer er verdt <BONUS> erfaring ved bilbestillinger.
TID_MASTERY_INFO_POPUP_TOOLTIP_BOAT_EXP_NEW,Alle <BUILDING>-varer er verdt <BONUS> erfaring ved båtbestillinger.
TID_MASTERY_INFO_POPUP_TOOLTIP_BOAT_SPECIAL_CURRENCY_NEW,Alle <BUILDING>-varer er verdt <BONUS> <CURRENCY> ved båtbestillinger.
TID_MASTERY_INFO_POPUP_TOOLTIP_TIME_NEW,Alle <BUILDING>-varer produseres <BONUS> raskere.
TID_DECO_CHINA_WALL,Steinmur
TID_DECO_GREECE_PILLARS,Gullsøyler
TID_DECO_IRELAND_SHEEP,Heldig sau
TID_DECO_NETHERLANDS_WINDMILL,Fredelig vindmølle
TID_DECO_NORWAY_FISH,Plaskende fisk
TID_DECO_SWEDEN_HORSE,Malt hest
TID_FUDGE_SHOP,Fudgebutikk
TID_FUDGE_SHOP_DESCRIPTION,Produserer fudge
TID_FUDGE_SHOP_PRODUCT_DESCRIPTION,Produser i fudgebutikken
TID_YOGURT_MAKER,Yoghurtmaskin
TID_YOGURT_MAKER_DESCRIPTION,Produserer yoghurtvarer
TID_YOGURT_MAKER_PRODUCT_DESCRIPTION,Produser i yoghurtmaskinen
TID_PLAIN_YOGHURT,Vanlig yoghurt
TID_STRAWBERRY_YOGHURT,Jordbæryoghurt
TID_TROPICAL_YOGHURT,Tropisk yoghurt
TID_BREAKFAST_BOWL,Frokostbolle
TID_DECO_SNOWCASTLEFENCE,Snøslottgjerde
TID_DECO_COWTOPIARY,Kubusk
TID_DECO_SNOWCASTLE,Snøslott
TID_PRODUCT_MANGO_DESCRIPTION,Plukk fra mangotreet
TID_TREE_MANGOTREE_DESCRIPTION,Samle inn tre ganger
TID_DECO_CNY_ENVELOPE,Rød konvoluttbusk
TID_DECO_CNY_DRAGON,Rød drage
TID_DECO_CNY_FANS,Fargerike vifter
TID_DECO_CNY_TEAPARTY,Beroligende te
TID_DECO_CANDLELIGHT_DINNER,Middag med talglys
TID_DECO_HEART_POND,Hjertedam
TID_DECO_HANAMI_BENCH,Hanamistrand
TID_DECO_HANAMI_PARK,Hanamipark
TID_DECO_MOON_LAMP,Månelampe
TID_DECO_MOON_BENCH,Månebenk
TID_DECO_MOON_GAZEBO,Månelysthus
TID_DECO_MOON_LANTERNS,Månelykter
TID_DECO_EASTER_EGGLAMP,Egglykt
TID_DECO_EASTER_CUTOUT,Eggpynt
TID_DECO_EASTER_FOUNTAIN,Eggfontene
TID_DECO_EASTER_EGGPAINTING,Eggmaleri
TID_DECO_ROSEPETAL_PATH,Rosebladsti
TID_DECO_HANAMI_PATH,Hanamisti
TID_ANIMAL_ACCESSORY_HAT_HARDHAT_PITH,Tropehjelm
TID_ANIMAL_ACCESSORY_HAT_HARDHAT_BIKER,Bikerhjelm
TID_ANIMAL_ACCESSORY_HAT_HARDHAT_HORSERIDER,Rytterhjelm
TID_ANIMAL_ACCESSORY_HAT_HELMET_HORNS,Hornhjelm
TID_ANIMAL_ACCESSORY_HAT_HELMET_BUTTONS,Pigghjelm
TID_ANIMAL_ACCESSORY_HAT_HELMET_WINGS,Vingehjelm
TID_ANIMAL_ACCESSORY_HAT_CAP_CLAPPERS,Klappehjelm
TID_ANIMAL_ACCESSORY_HAT_CAP_WINGS,Vingelue
TID_ANIMAL_ACCESSORY_HAT_CAP_BOW,Sløyfelue
TID_ANIMAL_ACCESSORY_HAT_SHOWERCAP_FROG,Frosk-dusjhette
TID_ANIMAL_ACCESSORY_HAT_SHOWERCAP_CHICK,Kylling-dusjhette
TID_ANIMAL_ACCESSORY_HAT_SHOWERCAP_LOBSTER,Hummer-dusjhette
TID_ANIMAL_ACCESSORY_HAT_SHOWERCAP_BAT,Flaggermus-dusjhette
TID_ANIMAL_ACCESSORY_HAT_TOPHAT_CLOVER,Kløver-flosshatt
TID_ANIMAL_ACCESSORY_HAT_TOPHAT_FLOWER,Blomst-flosshatt
TID_ANIMAL_ACCESSORY_HAT_TOPHAT_FEATHER,Fjær-flosshatt
TID_ANIMAL_ACCESSORY_HAT_TOPHAT_GOGGLES,Brille-flosshatt
TID_ANIMAL_ACCESSORY_HAT_CAP_POLICE,Politilue
TID_ANIMAL_ACCESSORY_HAT_CAP_CONDUCTOR,Konduktørlue
TID_ANIMAL_ACCESSORY_HAT_CAP_CAPTAIN,Kapteinslue
TID_ANIMAL_ACCESSORY_HAT_MARINE_POMPOM,Sjøpomponglue
TID_ANIMAL_ACCESSORY_HAT_MARINE_FEATHER,Sjøfjærhatt
TID_ANIMAL_ACCESSORY_HAT_MEXICAN_FELT,Grønn felthatt
TID_ANIMAL_ACCESSORY_HAT_MEXICAN_PLAIN,Fargerik felthatt
TID_ANIMAL_ACCESSORY_HAT_MEXICAN_BUCKLE,Beltefelthatt
TID_ANIMAL_ACCESSORY_HAT_BOATER_FEATHER,Fjærbåtlue
TID_ANIMAL_ACCESSORY_HAT_BOATER_PEARLS,Perlebåtlue
TID_ANIMAL_ACCESSORY_HAT_BOATER_PLAIN,Hvit båtlue
TID_ANIMAL_ACCESSORY_HAT_BOATER_POMPOM,Pompongbåtlue
TID_ANIMAL_ACCESSORY_HAT_BOWLERHAT_UMBRELLA,Paraplybowlerhatt
TID_ANIMAL_ACCESSORY_HAT_BOWLERHAT_HAMMER,Hammerbowlerhatt
TID_ANIMAL_ACCESSORY_HAT_BOWLERHAT_PERISCOPE,Periskopbowlerhatt
TID_ANIMAL_ACCESSORY_HAT_BOWLERHAT_BULB,Lyspærebowlerhatt
TID_ANIMAL_ACCESSORY_HAT_BOWLERHAT_BASIC,Grønn bowlerhatt
TID_ANIMAL_ACCESSORY_HAT_BOWLERHAT_BASIC2,Rosa bowlerhatt
TID_ANIMAL_ACCESSORY_HAT_MEXICAN_BIRTHDAY,Fin bursdagshatt
TID_DECO_PURPLE_HEDGE,Lilla hekk
TID_DECO_OLYMPIC_PATH,Klassisk sti
TID_DECO_MINERS_BENCH,Gruvearbeiderens benk
TID_DECO_SNOWCHICKS,Snøhønekyllinger
TID_DECO_LOVEBIRDS,Dvergpapegøyer
TID_DECO_BOOKWORMS,Bokormer
TID_DECO_CHICKLEG_TOPIARY,Kyllingfotbusk
TID_DECO_PAPERBOAT_PUDDLE,Papirbåtpytt
TID_DECO_MIDSUMMER_FESTIVAL,Midtsommerfestival
TID_PRODUCT_AFFOGATO,Affogato
TID_DECO_WELWITSCHIA,Welwitschia
TID_DECO_SUN_LICHEN,Sollav
TID_NEED_MORE_SCID_FRIENDS_SINGULAR,Du trenger én ny venn for å låse opp!
TID_NEED_MORE_SCID_FRIENDS,Trenger <NUMBER> nye venner for å låse opp!
TID_ANIMAL_ACCESSORY_HAT_ELF_HAT_RED,Rød alvehatt
TID_ANIMAL_ACCESSORY_HAT_ELF_HAT_GREEN,Grønn alvehatt
TID_DECO_OLYMPIC_FENCE,Klassisk gjerde
TID_DECO_ORANGE_FENCE,Oransje gjerde
TID_DECO_COLORFUL_PATH,Fargerik sti
TID_MINT_FUDGE,Myntefudge
TID_CHILI_FUDGE,Chilifudge
TID_LEMON_FUDGE,Sitronfudge
TID_PEANUT_FUDGE,Peanøttfudge
TID_RICH_FUDGE,Mektig fudge
TID_DECO_FLOWER_BULBS,Blomsterløk
TID_DECO_ARCHERY,Bueskyting
TID_DECO_CARROT_HEIST,Gulrotran
TID_DECO_ARCTIC_FIR,Arktisk furu
TID_DECO_ARCTIC_JUNIPER,Arktisk einer
TID_DECO_SUCCULENTS,Saftplanter
TID_DECO_CLIVIA,Mønjelilje
TID_DECO_BELGIUM_SQUIRREL,Manneken-ekorn
TID_DECO_CHILE_STATUE,Moai-gris
TID_DECO_MEXICO_PYRAMID,Steintempel
TID_DECO_SPAIN_CHICKEN,Gyllen fotball
TID_DECO_DENMARK_STATUE,Havfruen Gregor
TID_DECO_SAUDIARABIA_EXCAVATION,Utgravingssted
TID_MANGOTREE,Mangotre
TID_DECO_DERBY_HAY_HORSESHOE,Høy-hestesko
TID_DECO_DERBY_BALL_BASKET,Ballkurv
TID_DECO_DERBY_SNAIL_RACETRACK,Sneglbane
TID_DECO_DERBY_HOBBYHORSE_TRACK,Hobbyhestbane
TID_DECO_DERBY_MECHANICAL_HORSE,Mekanisk hest
TID_DECO_DERBY_HORSEHEAD_STATUE,Hestehodestatue
TID_DECO_BEACH_TIKI,Strandtiki
TID_DECO_BEACH_TOWELS,Strandhåndklær
TID_DECO_BEACH_HAMMOCK,Strandhengekøye
TID_DECO_LABRADORTEA,Labradorte
TID_DECO_ICYBATH,Isbad
TID_TOUCAN1,Tocotukan
TID_TOUCAN2,Platenebbtukan
TID_TOUCAN3,Regnbuetukan
TID_TOUCAN_DESCRIPTION,Mat for å samle poeng
TID_DECO_FISHERMANS_LIFERING,Fiskerens livbøye
TID_DECO_FISHERMANS_BOAT,Fiskerens båt
TID_DECO_FISHERMANS_NETS,Fiskerens garn
TID_YOGHURT_MAKER,Yoghurtmaskin
TID_YOGHURT_MAKER_DESCRIPTION,Produser i yoghurtmaskinen
TID_STEW_POT,Gryte
TID_STEW_POT_DESCRIPTION,Produserer grytevarer
TID_MANGO,Mango
TID_COCONUT,Kokosnøtt
TID_CHICKPEA_STEW,Kikertgryte
TID_WINTER_STEW,Vintergryte
TID_CHILI_STEW,Chiligryte
TID_COCONUTTREE,Kokospalme
TID_DECO_10THBIRTHDAY_GAME_STRENGHT,Kraftprøve
TID_DECO_10THBIRTHDAY_GAME_BALL,Ballkast
TID_DECO_10THBIRTHDAY_GAME_POOL,Hønsebasseng
TID_DECO_10THBIRTHDAY_TOPIARY,Bursdagsbusk
TID_DECO_10THBIRTHDAY_FERRIS,Bursdagshjul
TID_DECO_10THBIRTHDAY_CAKE,Bursdagskake
TID_TREE_COCONUTTREE_DESCRIPTION,Samle inn tre ganger
TID_DECO_SNOWMAN_GREG,Snømannen Gregor
TID_DECO_SNOWANGEL_CHICKEN,Snøhøne
TID_DECO_MOSAIC_PATH,Mosaikksti
TID_DECO_BIRDHOUSE_FENCE,Fuglehusgjerde
TID_DECO_RUSTIC_FENCE,Rustikk gjerde
TID_DECO_POTTED_FENCE,Pottegjerde
TID_WALRUS_HOUSE,Hvalrosshus
TID_WALRUS_HOUSE_SHOP_DESCRIPTION,Et hjem for <CAPACITY> hvalross
TID_WALRUS1,Grå hvalross
TID_WALRUS2,Brun hvalross
TID_MANGO_JUICE,Mangojuice
TID_PRODUCT_TROPICAL_FONDUE,Tropisk fondue
TID_DECO_SUNBED,Solseng
TID_DECO_FISHERCHICK,Fiskerkylling
TID_DECO_HARVESTER,Høstavling
TID_DECO_RAINYDAY,Regnfull dag
TID_DECO_CHICKFOOTTROPHY,Kyllingfottrofe
TID_DECO_ICECHICK,Iskylling
TID_DECO_FLAG_FENCE,Gjerde med 10.årsdagsflagg
TID_CLAIM_ALREADY_IN_PROGRESS,Aktivering pågår allerede
TID_FARM_PASS_SCID_CLAIM_BUTTON,Aktiver gårdskortet
TID_CLAM_WITCH_SCID_BUTTON,Aktiver
TID_SCID_CONFIRM_GET_FARM_PASS_TITLE,Aktivere gårdskortet?
TID_SCID_CONFIRM_GET_FARM_PASS_TEXT,Supercell ID-en din har <NUMBER> tilgjengelige gårdskort. Vil du bruke et på å aktivere sesongens gårdskort?
TID_CUSTOMIZATION_BIRTHDAY2022,Bursdagsmarked
TID_DECO_CRAFTS_CORNER,Håndverkshjørne
TID_DECO_RUINS,Mosegrodde ruiner
TID_DECO_WEEPING_WILLOW,Sørgepil
TID_DECO_WEEPING_CHERRY,Sørgende kirsebærtre
TID_DECO_BLUE_SPRUCE,Liten blågran
TID_DECO_ANGEL_TRUMPET,Engletrompet
TID_MASSGIFT_10YEARBIRTHDAY_CAPSULE1_HEADER,Hay Days 10-årsdag!
TID_MASSGIFT_10YEARBIRTHDAY_CAPSULE8_HEADER,Enda en bursdagsoverraskelse!
TID_MASSGIFT_10YEARBIRTHDAY_CAPSULE1_TEXT,"Den diamanten i 10-årsdagens tidskapsel var visst større enn vi trodde! Takk for at du har spilt de siste 10 årene, vi håper det blir mange flere! Jeg lurer på hva annet kapselen gjemte på ..."
TID_MASSGIFT_10YEARBIRTHDAY_CAPSULE8_TEXT,Hei! Vi hørte at noen fant flere gullkuponger i en annen tidskapsel! Med den skinnende overraskelsen kan du utløse massevis av premier. God fornøyelse!
TID_DECO_JADE_PATH,Jadesti
TID_DECO_SUCCULENT_PATH,Saftplantesti
TID_DECO_BAMBOO_FENCE,Bambusgjerde
TID_DECO_MASONRY_FENCE,Murverkgjerde
TID_PRODUCT_COCONUT_DESCRIPTION,Samle fra kokospalmen
TID_TROPICAL_SMOOTHIE,Tropisk smoothie
TID_PRODUCT_MACAROON,Makron
TID_PRODUCT_COCONUT_ICECREAM,Kokosis
TID_DECO_SEAGULLS_NEST,Måkerede
TID_DECO_LIGHTHOUSE,Fyrtårn
TID_DECO_TEACHING_ART,Kunstundervisning
TID_DECO_EATING_HOMEWORK,Spiser hjemmeleksen
TID_DECO_ARRANGING_PAPERS,Sorterer prøver
TID_DECO_SANDY_SHEEP,Sandsau
TID_DECO_ACORN_LAMP,Eikenøttlampe
TID_DECO_FOX_STATUE,Revestatue
TID_DECO_SLEEPING_FOX,Sovende rev
TID_DECO_AUTUMN_GNOMES,Høstnisser
TID_DECO_RESTAURANT_FENCE,Restaurantbordgjerde
TID_DECO_BRICK_PATH,Mursteinssti
TID_ANIMAL_ACCESSORY_HAT_BALLOON_CHICKEN,Hønsehatt av vridd ballong
TID_ANIMAL_ACCESSORY_HAT_BALLOON_STARS,Stjernehatt av vridd ballong
TID_DECO_BLUE_SPRUCE2,Middels stor blågran
TID_DECO_BLUE_SPRUCE3,Stor blågran
TID_DECO_ICEPOPPIES,Isvalmuer
TID_DECO_SNOWYTRUNK,Snøstokk
TID_PURCHASE_COST_FREE,Gratis
TID_SCID_PURCHACE_VERIFICATION_ERROR,Det oppsto en feil under bekreftelsen av kjøpet
TID_WALRUS_CALF1,Grå hvalrosskalv
TID_WALRUS_CALF2,Brun hvalrosskalv
TID_COCKATOO1,Gultoppkakadu
TID_COCKATOO2,Rosenkakadu
TID_COCKATOO3,Fagerkakadu
TID_COCKATOO_DESCRIPTION,Mat for å samle poeng
TID_PEOPLE_ORDER_CONFIRM_DISMISSAL_TEXT,Dette er et engangstilbud! Trykk på X for å gå tilbake og innfri bestillingen. Advarsel: Dekorasjonen blir avbrutt hvis du huker av.
TID_PEOPLE_ORDER_CONFIRM_DISMISSAL_TITLE,Er du sikker?
TID_MEERKAT_HOUSE,Surikathus
TID_MEERKAT_HOUSE_SHOP_DESCRIPTION,Hjem for <CAPACITY> surikater
TID_MEERKAT1,Rød surikat
TID_MEERKAT2,Brun surikat
TID_DECO_BIRD_FEEDER,Fuglekasse
TID_DECO_BIRD_TREE,Fugletre
TID_DECO_BIRD_FOREST,Fugleskog
TID_CUPCAKE_MAKER,Muffinsmaskin
TID_CUPCAKE_MAKER_DESCRIPTION,Produserer muffinser
TID_PLAIN_CUPCAKE,Vanlig muffins
TID_TROPICAL_CUPCAKE,Tropisk muffins
TID_COOKIE_CUPCAKE,Cookiemuffins
TID_GUAVA_CUPCAKE,Guavamuffins
TID_CUPCAKE_MAKER_PRODUCT_DESCRIPTION,Lages i muffinsmaskinen
TID_DECO_CHINESE_LANTERN_FLOWERS,Lykteblomster
TID_DECO_GRASSY_ROCK,Gresskledd stein
TID_DECO_ICY_SNOWFLAKE,Isete snøflak
TID_DECO_DRUMMERBOYS,Trommegutter
TID_DECO_WORKBENCH,Nissens arbeidsbenk
TID_DECO_GIFT_TREE,Gavetre
TID_STEW_POT_PRODUCT_DESCRIPTION,Produser i gryten
TID_DELETE_ACCOUNT_TITLE,Slett konto
TID_DELETE_ACCOUNT_BUTTON,Slett konto
TID_DECO_WISTERIA_BLUE,Blåregn
TID_DECO_WISTERIA_PINK,Lilla blåregn
TID_DECO_WEEPING_WILLOW_SMALL,Liten sørgepil
TID_DECO_PARTYBALLOONS,Festballonger
TID_DECO_PARTYMUSIC,Festmusikk
TID_DECO_PARTYSTATUE,Feststatue
TID_DECO_PARTYPOT,Festkrukke
TID_GUAVATREE,Guavatre
TID_TREE_GUAVATREE_DESCRIPTION,Samle inn tre ganger
TID_GUAVA,Guava
TID_PRODUCT_GUAVA_DESCRIPTION,Høst inn fra guavatreet
TID_DECO_PERUSTATUE,Panfløytegris
TID_DECO_PORTUGALSTATUE,Fargerik hane
TID_DECO_THAILANDSTATUE,Harmonisk bie
TID_DECO_ALASKASTATUE,Hundekjøreren Gregor
TID_PRODUCT_FRUITSORBET,Fruktsorbet
TID_GUAVA_JUICE,Guavajus
TID_PRODUCT_GUAVA_COMPOTE,Guavakompott
TID_DECO_CARVED_PUMPKIN,Utskåret gresskar
TID_DECO_RAVENS,Ravner
TID_DECO_MUMMY_PIG,Mumiegris
TID_DECO_TRICK_TREE,Kneptre
TID_CUSTOMIZATION_HALLOWEEN2022,Halloween
TID_DECO_STABLE_FENCE,Gjerde
TID_DECO_APPLE_BOBBING,Fang eplene
TID_DECO_CARVED_TURKEY,Kalkunutskjæring
TID_DECO_HORNOF_PLENTY,Overflødighetshorn
TID_DECO_BIGGEST_CROP,Største avling
TID_DECO_STALK_LANTERN,Stilklykt
TID_DECO_PUMPKIN_ARCH,Gresskarbue
TID_DECO_HALLOWEENPATH,Halloweenvei
TID_DECO_LUNAR_SWING,Månehuske
TID_DECO_LOVELY_TRAMPOLINE,Flott trampoline
TID_DECO_CHERRY_BLOSSOM,Kirsebærblomst
TID_DECO_CHICK_SURPRISE,Kyllingoverraskelse
TID_DECO_PILOT_TRAINING,Pilottrening
TID_DECO_BUTTERFLY_OASIS,Sommerfugloase
TID_DECO_SEED_SPITTING,Frøspyttetevling
TID_DECO_TOURIST_ATTRACTION,Turistattraksjon
TID_DECO_KNITTER_CHICKS,Strikkekyllinger
TID_DECO_HALLOWEEN_COSTUME,Halloweenkostyme
TID_DECO_SNOW_DEER,Snøhjort
TID_DECO_WRAPPING_PAPERS,Innpakkingspapir
TID_DECO_BUNNY_SCROLL,Harerull
TID_DECO_BUNNY_GUARDIANS,Harevoktere
TID_DECO_SKY_LANTERN,Lyktedam
TID_DECO_EASTER_PLANTER,Poskepotte
TID_DECO_EASTER_ARCH,Påskebue
TID_DECO_EASTER_BALLOON,Påskeballong
TID_DECO_EASTER_TILE,Påskeflis
TID_DECO_BUNNY_HEDGE,Harehekk
TID_DECO_ICELANDSTATUE,Tuller og tøyser
TID_DECO_MAROCCOSTATUE,Travelt marked
TID_DECO_SWITZERLANDSTATUE,Osteku
TID_DECO_INDONESIASTATUE,Stille klokke
TID_DECO_UKRAINESTATUE,Moderlandmonument
TID_DECO_TURKEYSTATUE,Ridevoktere
TID_DECO_ROMANIASTATUE,Grev Geit
TID_DECO_FINLANDSTATUE,Vinterlig eventyrland
TID_DECO_VENETIAN_GNOME,Venetiansk nisse
TID_DECO_VENETIAN_BRIDGE,Venetiansk bro
TID_DECO_VENETIAN_RIDE,Venetiansk doning
TID_DECO_VENETIAN_FENCE,Venetiansk gjerde
TID_GIFT_WRAPPING_STATION,Gaveinnpakkingsstasjon
TID_GIFT_WRAPPING_STATION_DESCRIPTION,Produserer innpakkede gaver
TID_MISTLETOE,Kristtorn
TID_MISTLETOE_DESCRIPTION,Spesialartikler for høytidseventen. Sikre deg flere ved å innfri spesielle båtkasser. Bytt dem inn mot gavepakker fra postmannen!
TID_DECO_VENETIAN_CANAL,Venetiansk kanal
TID_SEASONAL_OBJECT_CANT_BE_USED_ANYMORE,Dette kan ikke brukes lenger. Eventen er nesten over!
TID_UNABLE_TO_PURCHASE_RESOURCE_MAXED_OUT,Kjøp ikke mulig: Du har allerede det maksimalt tillatte antallet av dette!
TID_DECO_BULRUSH,Sivaks
TID_DECO_LAWN_MOVER,Plenklipper
TID_DECO_POPPY_FIELD,Valmueåker
TID_GIFT_BOX1,Snøflakgave
TID_GIFT_BOX2,Grønn gave
TID_GIFT_BOX3,Stablet gave
TID_GIFT_BOX4,Lang gave
TID_GIFT_BOX_DESCRIPTION,Produseres på gaveinnpakkingsstasjonen. Tidsbegrenset produkt!
TID_CUSTOMIZATION_WINTER2022,Vinter
TID_EVENT_GOTO,Gå til event!
TID_HOLIDAY_BOAT_TITLE,Event med julegavebåter!
TID_HOLIDAY_BOAT_TEXT,"Høytiden er her, og alle elvebåtene ønsker seg tidsbegrensede gaver! Fyll kasser med gaveprodukter for å motta kristtorn, som du kan bytte mot spesielle premier fra postmannens gavekatalog.\n\nNår eventen er over, vil kristtornene som er igjen, bli konvertert til mynter."
TID_SEASONAL_REWARD_TITLE,Høytidseventen er over!
TID_SEASONAL_REWARD_TEXT,"Hvor ble det av tiden? Vi kom i ordentlig julestemning, pakket inn gaver og sendte dem rundt om i verden.\n\nKristtornene som var igjen, ble konvertert til mynter."
TID_SEASONAL_OBJECT_TEXT,I denne eventen får du en spesiell tidsbegrenset produksjonsbygning til gården din. Med gaveinnpakkingsstasjonen kan du produsere gaver å sende av gårde på båter - bare under høytidseventen.\n\nDenne spesielle produksjonsbygningen blir fjernet fra gården din når eventen er over!
TID_SEASONAL_OBJECT_TITLE,Spesiell produksjonsbygning til høytiden!
TID_EVENT_ENDED_TITLE,Eventen er over!
TID_EVENT_ENDED_TEXT,Kom tilbake senere for flere eventer!
TID_DECO_CRESCENT_TENT,Halvmånetelt
TID_DECO_CRESCENT_SWING,Halvmånehuske
TID_DECO_CRESCENT_TILE,Halvmåneflis
TID_DECO_CRESCENT_FENCE,Halvmånegjerde
TID_DECO_FIGURESKATER_GNOME,Kunstløpnisse
TID_DECO_CURLING_RINK,Curlingring
TID_DECO_OLYMPIC_METALISTS,Klassiske medaljevinnere
TID_DECO_ORNAMENT_TOWER,Pyntetårn
TID_DECO_SANTAS_GIFTS,Julenissens gaver
TID_DECO_TREE_MARKET,Tremarked
TID_DECO_VENETIAN_MASKS,Venetianske masker
TID_POPUP_OPEN_EXTERNAL_URL_TITLE,Åpne lenke
TID_POPUP_OPEN_EXTERNAL_URL,"Hvis du åpner denne lenken, forlater du spillet. Åpne <url>?"
TID_POPUP_OPEN_EXTERNAL_URL_CONFIRM_YES,Åpne
TID_POPUP_OPEN_EXTERNAL_URL_CONFIRM_NO,Avbryt
TID_NO_GLOBAL_EVENT_ONGOING,Det pågår ingen globale eventer. Kom tilbake senere!
TID_SEASONAL_GIFT_SOLD_OUT,Utsolgt!
TID_SEASONAL_GIFT_COMING_IN,Kommer om
TID_SEASONAL_GIFT_LEAVING_IN,Forsvinner om
TID_SEASONAL_GIFT_NO_LONGER_AVAILABLE,Ikke lenger tilgjengelig
TID_SEASONAL_GIFT_NOT_YET_AVAILABLE,Ennå ikke tilgjengelig
TID_WHEEL_SPIN_LIMIT_REACHED,Du har nådd den daglige grensen
TID_DECO_RAINBOW_LIGHTS,Regnbuelys
TID_DECO_RAINBOW_UMBRELLAS,Regnbueparaplyer
TID_DECO_RAINBOW_TENT,Regnbuetelt
TID_DECO_RAINBOW_PATH,Regnbuevei
TID_VERIFY_AGE,Bekreft alderen din!
TID_ADVANCE_SETTINGS_SHOW_VIDEOS_ADS_HEADER,Reklame
TID_ADVANCE_SETTINGS_SHOW_VIDEOS_ADS_TEXT,Aktiver datadeling for å få skreddersydd reklame
TID_VIDEO_ADS_CONSENT,"Hay Day vil gjerne ha din tillatelse til å spore deg på apper og nettsteder eid av andre selskaper.\n\nDataene dine vil bli brukt til å skaffe innsikt i brukeratferd, til analyser og til å forbedre tjenestene våre."
TID_PRIVACY_POLICY,personvernerklæring
TID_PELICAN1,Krøllpelikan
TID_PELICAN2,Australpelikan
TID_PELICAN3,Brunpelikan
TID_PELICAN_DESCRIPTION,Mat for å samle poeng
TID_WAFFLE_MAKER,Vaffeljern
TID_WAFFLE_MAKER_DESCRIPTION,Lager vafler
TID_PRODUCT_PLAIN_WAFFLES,Vanlige vafler
TID_PRODUCT_BREAKFAST_WAFFLES,Frokostvafler
TID_PRODUCT_BERRY_WAFFLES,Bærvafler
TID_PRODUCT_CHOCOLATE_WAFFLES,Sjokoladevafler
TID_WAFFLE_MAKER_PRODUCT_DESCRIPTION,Lag i vaffeljernet
TID_ASPARAGUS_SOUP,Aspargessuppe
TID_PRODUCT_ASPARAGUS_QUICHE,Aspargesquiche
TID_PRODUCT_GRILLED_ASPARAGUS,Grillet asparges
TID_POMEGRANATETREE,Granatepletre
TID_TREE_POMEGRANATETREE_DESCRIPTION,Samle tre ganger
TID_POMEGRANATE,Granateple
TID_PRODUCT_POMEGRANATE_DESCRIPTION,Plukk fra granatepletreet
TID_NOT_ENOUGH_RESOURCES_NO_DIAMONDS,Ikke nok ressurser!
TID_PRODUCT_POMEGRANATECAKE,Granateplekake
TID_PRODUCT_POMEGRANATETEA,Granateplete
TID_ORANGE_SALAD,Appelsinsalat
TID_FENCES_DESCRIPTION,Samle deler for å lage et gjerde
TID_PATHS_DESCRIPTION,Samle deler for å lage en vei
TID_HEDGES_DESCRIPTION,Samle deler for å lage en hekk
TID_DITCH_DESCRIPTION,Samle deler for å lage en grøft
TID_CANAL_DESCRIPTION,Samle deler for å lage en kanal
TID_WALL_DESCRIPTION,Samle deler for å lage en mur
TID_SURVEY_COMPLETED_TITLE,Spørreundersøkelse fullført
TID_SURVEY_COMPLETED_TEXT,"Takk for at du svarte på spørreundersøkelsen vår! Vi setter stor pris på tilbakemeldingene, siden de hjelper oss med å lage et bedre spill.\n\nHilsen HayDay-teamet"
TID_DECO_JOCKEYS_CORNER,Jockeyens hjørne
TID_DECO_STARTING_GATES,Startporter
TID_DECO_RACE_WINNER,Løpsvinner
TID_DECO_SPECTATORS_STAND,Tribune
TID_DECO_HORSECARE_AREA,Hestepleieområde
TID_DECO_HORSESHOE_FENCE,Hesteskohekk
TID_DECO_TEST,Testdekorasjon
TID_SILO_UPGRADE_FOR_FREE_TITLE,Oppgrader gratis
TID_SILO_UPGRADE_FOR_FREE_TEXT,Dine egne oppgraderingselementer vil ikke bli brukt.
TID_CHOCOBUNNY,Sjokoladekanin
TID_CHOCOBUNNY_DESCRIPTION,Spesiell godbit for påskehendelsen. Sikre deg flere ved å innfri spesielle båtkasser. Bytt dem inn mot gavepakker fra postmannen!
TID_EASTER_EGG1,Indigoegg
TID_EASTER_EGG2,Kirsebæregg
TID_EASTER_EGG3,Kongelig egg
